,row,col,sample,value_ffluc,norm_ffluc,value_nanolic,norm_nanolic
0,A,1,DMSO,2040,1.3066230580539657,43710,1.228513849686648
1,B,1,DMSO,1600,1.0248023984736985,37020,1.0404846194326174
2,C,1,DMSO,1600,1.0248023984736985,39860,1.120305697746735
3,D,1,DMSO,1570,1.0055873535023168,36830,1.035144476869349
4,E,1,DMSO,1730,1.1080675933496866,39750,1.1172140362627374
5,F,1,DMSO,1620,1.0376124284546198,37830,1.0632504903602353
6,G,1,DMSO,1680,1.0760425183973834,38820,1.091075443716213
7,H,1,DMSO,1750,1.1208776233306077,42410,1.1919760321484953
8,I,1,DMSO,1580,1.0119923684927774,47100,1.3237932354207531
9,J,1,DMSO,1520,0.9735622785500136,41220,1.1585298760943405
10,K,1,DMSO,1300,0.83265194875988,31190,0.8766265607807492
11,L,1,DMSO,1360,0.8710820387026438,36850,1.0357065971391666
12,M,1,DMSO,2000,1.2810029980921231,40870,1.1486927713725303
13,O,1,DMSO,1640,1.050422458435541,40800,1.1467253504281683
14,P,1,DMSO,1820,1.165712728263832,40440,1.136607185571449
15,A,2,DMSO,1650,1.0568274734260017,43000,1.2085585801081185
16,B,2,DMSO,1600,1.0248023984736985,35490,0.9974824187915611
17,C,2,DMSO,1810,1.1593077132733716,39010,1.0964155862794813
18,D,2,DMSO,1800,1.152902698282911,42340,1.1900086112041335
19,E,2,DMSO,1560,0.9991823385118561,36640,1.0298043343060805
20,F,2,DMSO,1470,0.9415372035977105,34430,0.9676900444912214
21,G,2,DMSO,1860,1.1913327882256746,41880,1.1770798449983255
22,H,2,DMSO,1510,0.967157263559553,34670,0.9744354877290341
23,I,2,DMSO,1660,1.0632324884164621,29600,0.8319379993302397
24,J,2,DMSO,1490,0.9543472335786317,37840,1.0635315504951444
25,K,2,DMSO,1470,0.9415372035977105,33260,0.9348060087068842
26,L,2,DMSO,1730,1.1080675933496866,42150,1.184668468640865
27,M,2,DMSO,1730,1.1080675933496866,37710,1.059877768741329
28,N,2,DMSO,1510,0.967157263559553,30300,0.8516122087738602
29,O,2,DMSO,1570,1.0055873535023168,39870,1.1205867578816437
30,P,2,DMSO,1670,1.0696375034069228,41570,1.1683669808161508
31,A,3,2,2110,1.35145816298719,13570,0.3813986030713295
32,B,3,2,1640,1.050422458435541,8794,0.24716428263885568
33,C,3,2,2020,1.2938130280730444,10280,0.28892981868631296
34,D,3,2,1720,1.101662578359226,8584,0.2412620198057695
35,E,3,2,2050,1.3130280730444261,12150,0.34148806391427067
36,F,3,2,1550,0.9927773235213955,9695,0.27248780079414436
37,G,3,2,1690,1.082447533387844,10070,0.2830275558532268
38,H,3,2,1660,1.0632324884164621,9074,0.2550339664163039
39,I,3,2,1640,1.050422458435541,10190,0.2864002774721332
40,J,3,2,1710,1.0952575633687653,10650,0.299329043677941
41,K,3,2,1730,1.1080675933496866,8974,0.2522233650672152
42,L,3,2,1600,1.0248023984736985,9645,0.27108250011960006
43,M,3,2,1660,1.0632324884164621,9955,0.2797953643017749
44,N,3,2,1400,0.8967020986644862,8464,0.23788929818686314
45,O,3,2,1810,1.1593077132733716,10630,0.2987669234081232
46,P,3,2,1850,1.184927773235214,10490,0.29483208151939916
47,A,4,2,1960,1.2553829381302808,11710,0.32912141797828065
48,B,4,2,1830,1.1721177432542926,11210,0.3150684112328374
49,C,4,2,1870,1.1977378032161352,11310,0.317879012581926
50,D,4,2,1630,1.0440174434450804,10330,0.2903351193608573
51,E,4,2,1580,1.0119923684927774,8684,0.24407262115485817
52,F,4,2,1520,0.9735622785500136,9735,0.27361204133377987
53,G,4,2,1710,1.0952575633687653,7913,0.22240288475338468
54,H,4,2,1570,1.0055873535023168,10280,0.28892981868631296
55,I,4,2,1860,1.1913327882256746,11220,0.31534947136774627
56,J,4,2,1660,1.0632324884164621,8694,0.24435368128976703
57,K,4,2,1930,1.2361678931588989,10390,0.2920214801703105
58,L,4,2,1500,0.9607522485690924,9284,0.26093622924939003
59,M,4,2,1520,0.9735622785500136,9184,0.2581256279003014
60,N,4,2,1380,0.883892068683565,7973,0.22408924556283788
61,O,4,2,1660,1.0632324884164621,10590,0.2976426828684878
62,P,4,2,2010,1.2874080130825838,12320,0.34626608620772137
63,A,5,3,1630,1.0440174434450804,19370,0.544413481318471
64,B,5,3,1660,1.0632324884164621,18910,0.5314847151126633
65,C,5,3,1800,1.152902698282911,21770,0.6118679136965985
66,D,5,3,1470,0.9415372035977105,17250,0.4848287327177917
67,E,5,3,1750,1.1208776233306077,18420,0.5177127685021289
68,F,5,3,1510,0.967157263559553,18710,0.5258635124144859
69,G,5,3,1540,0.9863723085309348,18080,0.5081567239152275
70,H,5,3,1540,0.9863723085309348,19210,0.5399165191599292
71,I,5,3,1650,1.0568274734260017,16550,0.46515452327417117
72,J,5,3,1680,1.0760425183973834,18970,0.5331710759221164
73,K,5,3,1490,0.9543472335786317,18730,0.5264256326843036
74,L,5,3,1590,1.0183973834832378,14590,0.4100667368320337
75,M,5,3,1420,0.9095121286454074,15290,0.42974094627565423
76,N,5,3,1550,0.9927773235213955,17830,0.5011302205425059
77,O,5,3,1600,1.0248023984736985,19500,0.5480672630722863
78,P,5,3,1800,1.152902698282911,18280,0.5137779266134048
79,A,6,3,1710,1.0952575633687653,18940,0.5323278955173899
80,B,6,3,1570,1.0055873535023168,19270,0.5416028799693824
81,C,6,3,1520,0.9735622785500136,18600,0.5227718509304885
82,D,6,3,1710,1.0952575633687653,18710,0.5258635124144859
83,E,6,3,1650,1.0568274734260017,18930,0.532046835382481
84,F,6,3,1520,0.9735622785500136,15990,0.44941515571927476
85,G,6,3,1570,1.0055873535023168,19790,0.5562180069846434
86,H,6,3,1740,1.114472608340147,20080,0.5643687508970004
87,I,6,3,1490,0.9543472335786317,15750,0.442669712481462
88,J,6,3,1510,0.967157263559553,16370,0.4600954408458116
89,K,6,3,1430,0.9159171436358681,14070,0.39545160981677274
90,L,6,3,1570,1.0055873535023168,17830,0.5011302205425059
91,M,6,3,1490,0.9543472335786317,16600,0.4665598239487155
92,N,6,3,1870,1.1977378032161352,19900,0.5593096684686408
93,O,6,3,1710,1.0952575633687653,17550,0.49326053676505766
94,P,6,3,1560,0.9991823385118561,17640,0.49579007797923746
95,A,7,4,1800,1.152902698282911,29610,0.8322190594651485
